"FitApply..Test Condition","FitApply..ID","MTVC.gs0.variable","MTVC.gs0.value"
"Control","41_654_666","MTVC.ds50.LogFC",
"Control","41_654_666","MTVC.ds50.LogFC",
"Control","41_654_666","MTVC.ds50.LogFC",
"Control","41_654_666","MTVC.ds50.LogFC",
"Control","41_654_666","MTVC.ds50.LogFC",
"Control","41_654_666","MTVC.ds50.LogFC",
"Control","41_654_666","MTVC.ds50.pvalue.treatment",
"Control","41_654_666","MTVC.ds50.pvalue.treatment",
"Control","41_654_666","MTVC.ds50.pvalue.treatment",
"Control","41_654_666","MTVC.ds50.pvalue.treatment",
"Control","41_654_666","MTVC.ds50.pvalue.treatment",
"Control","41_654_666","MTVC.ds50.pvalue.treatment",
"Control","ACHD_383_395","MTVC.ds50.LogFC",
"Control","ACHD_383_395","MTVC.ds50.LogFC",
"Control","ACHD_383_395","MTVC.ds50.LogFC",
"Control","ACHD_383_395","MTVC.ds50.LogFC",
"Control","ACHD_383_395","MTVC.ds50.LogFC",
"Control","ACHD_383_395","MTVC.ds50.LogFC",
"Control","ACHD_383_395","MTVC.ds50.pvalue.treatment",
"Control","ACHD_383_395","MTVC.ds50.pvalue.treatment",
"Control","ACHD_383_395","MTVC.ds50.pvalue.treatment",
"Control","ACHD_383_395","MTVC.ds50.pvalue.treatment",
"Control","ACHD_383_395","MTVC.ds50.pvalue.treatment",
"Control","ACHD_383_395","MTVC.ds50.pvalue.treatment",
"Control","AKT1_170_182","MTVC.ds50.LogFC",
"Control","AKT1_170_182","MTVC.ds50.LogFC",
"Control","AKT1_170_182","MTVC.ds50.LogFC",
"Control","AKT1_170_182","MTVC.ds50.LogFC",
"Control","AKT1_170_182","MTVC.ds50.LogFC",
"Control","AKT1_170_182","MTVC.ds50.LogFC",
"Control","AKT1_170_182","MTVC.ds50.pvalue.treatment",
"Control","AKT1_170_182","MTVC.ds50.pvalue.treatment",
"Control","AKT1_170_182","MTVC.ds50.pvalue.treatment",
"Control","AKT1_170_182","MTVC.ds50.pvalue.treatment",
"Control","AKT1_170_182","MTVC.ds50.pvalue.treatment",
"Control","AKT1_170_182","MTVC.ds50.pvalue.treatment",
"Control","ANXA2_17_29","MTVC.ds50.LogFC",
"Control","ANXA2_17_29","MTVC.ds50.LogFC",
"Control","ANXA2_17_29","MTVC.ds50.LogFC",
"Control","ANXA2_17_29","MTVC.ds50.LogFC",
"Control","ANXA2_17_29","MTVC.ds50.LogFC",
"Control","ANXA2_17_29","MTVC.ds50.LogFC",
"Control","ANXA2_17_29","MTVC.ds50.pvalue.treatment",
"Control","ANXA2_17_29","MTVC.ds50.pvalue.treatment",
"Control","ANXA2_17_29","MTVC.ds50.pvalue.treatment",
"Control","ANXA2_17_29","MTVC.ds50.pvalue.treatment",
"Control","ANXA2_17_29","MTVC.ds50.pvalue.treatment",
"Control","ANXA2_17_29","MTVC.ds50.pvalue.treatment",
"Control","ARAF_297_307","MTVC.ds50.LogFC",
"Control","ARAF_297_307","MTVC.ds50.LogFC",
"Control","ARAF_297_307","MTVC.ds50.LogFC",
"Control","ARAF_297_307","MTVC.ds50.LogFC",
"Control","ARAF_297_307","MTVC.ds50.LogFC",
"Control","ARAF_297_307","MTVC.ds50.LogFC",
"Control","ARAF_297_307","MTVC.ds50.pvalue.treatment",
"Control","ARAF_297_307","MTVC.ds50.pvalue.treatment",
"Control","ARAF_297_307","MTVC.ds50.pvalue.treatment",
"Control","ARAF_297_307","MTVC.ds50.pvalue.treatment",
"Control","ARAF_297_307","MTVC.ds50.pvalue.treatment",
"Control","ARAF_297_307","MTVC.ds50.pvalue.treatment",
"Control","BTLA_252_262","MTVC.ds50.LogFC",
"Control","BTLA_252_262","MTVC.ds50.LogFC",
"Control","BTLA_252_262","MTVC.ds50.LogFC",
"Control","BTLA_252_262","MTVC.ds50.LogFC",
"Control","BTLA_252_262","MTVC.ds50.LogFC",
"Control","BTLA_252_262","MTVC.ds50.LogFC",
"Control","BTLA_252_262","MTVC.ds50.pvalue.treatment",
"Control","BTLA_252_262","MTVC.ds50.pvalue.treatment",
"Control","BTLA_252_262","MTVC.ds50.pvalue.treatment",
"Control","BTLA_252_262","MTVC.ds50.pvalue.treatment",
"Control","BTLA_252_262","MTVC.ds50.pvalue.treatment",
"Control","BTLA_252_262","MTVC.ds50.pvalue.treatment",
"Control","CD28_203_215","MTVC.ds50.LogFC",
"Control","CD28_203_215","MTVC.ds50.LogFC",
"Control","CD28_203_215","MTVC.ds50.LogFC",
"Control","CD28_203_215","MTVC.ds50.LogFC",
"Control","CD28_203_215","MTVC.ds50.LogFC",
"Control","CD28_203_215","MTVC.ds50.LogFC",
"Control","CD28_203_215","MTVC.ds50.pvalue.treatment",
"Control","CD28_203_215","MTVC.ds50.pvalue.treatment",
"Control","CD28_203_215","MTVC.ds50.pvalue.treatment",
"Control","CD28_203_215","MTVC.ds50.pvalue.treatment",
"Control","CD28_203_215","MTVC.ds50.pvalue.treatment",
"Control","CD28_203_215","MTVC.ds50.pvalue.treatment",
"Control","CD3E_182_194","MTVC.ds50.LogFC",
"Control","CD3E_182_194","MTVC.ds50.LogFC",
"Control","CD3E_182_194","MTVC.ds50.LogFC",
"Control","CD3E_182_194","MTVC.ds50.LogFC",
"Control","CD3E_182_194","MTVC.ds50.LogFC",
"Control","CD3E_182_194","MTVC.ds50.LogFC",
"Control","CD3E_182_194","MTVC.ds50.pvalue.treatment",
"Control","CD3E_182_194","MTVC.ds50.pvalue.treatment",
"Control","CD3E_182_194","MTVC.ds50.pvalue.treatment",
"Control","CD3E_182_194","MTVC.ds50.pvalue.treatment",
"Control","CD3E_182_194","MTVC.ds50.pvalue.treatment",
"Control","CD3E_182_194","MTVC.ds50.pvalue.treatment",
"Control","CD3E_193_205","MTVC.ds50.LogFC",
"Control","CD3E_193_205","MTVC.ds50.LogFC",
"Control","CD3E_193_205","MTVC.ds50.LogFC",
"Control","CD3E_193_205","MTVC.ds50.LogFC",
"Control","CD3E_193_205","MTVC.ds50.LogFC",
"Control","CD3E_193_205","MTVC.ds50.LogFC",
"Control","CD3E_193_205","MTVC.ds50.pvalue.treatment",
"Control","CD3E_193_205","MTVC.ds50.pvalue.treatment",
"Control","CD3E_193_205","MTVC.ds50.pvalue.treatment",
"Control","CD3E_193_205","MTVC.ds50.pvalue.treatment",
"Control","CD3E_193_205","MTVC.ds50.pvalue.treatment",
"Control","CD3E_193_205","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_105_117","MTVC.ds50.LogFC",
"Control","CD3Z_105_117","MTVC.ds50.LogFC",
"Control","CD3Z_105_117","MTVC.ds50.LogFC",
"Control","CD3Z_105_117","MTVC.ds50.LogFC",
"Control","CD3Z_105_117","MTVC.ds50.LogFC",
"Control","CD3Z_105_117","MTVC.ds50.LogFC",
"Control","CD3Z_105_117","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_105_117","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_105_117","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_105_117","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_105_117","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_105_117","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_135_147","MTVC.ds50.LogFC",
"Control","CD3Z_135_147","MTVC.ds50.LogFC",
"Control","CD3Z_135_147","MTVC.ds50.LogFC",
"Control","CD3Z_135_147","MTVC.ds50.LogFC",
"Control","CD3Z_135_147","MTVC.ds50.LogFC",
"Control","CD3Z_135_147","MTVC.ds50.LogFC",
"Control","CD3Z_135_147","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_135_147","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_135_147","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_135_147","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_135_147","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_135_147","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_77_89","MTVC.ds50.LogFC",
"Control","CD3Z_77_89","MTVC.ds50.LogFC",
"Control","CD3Z_77_89","MTVC.ds50.LogFC",
"Control","CD3Z_77_89","MTVC.ds50.LogFC",
"Control","CD3Z_77_89","MTVC.ds50.LogFC",
"Control","CD3Z_77_89","MTVC.ds50.LogFC",
"Control","CD3Z_77_89","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_77_89","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_77_89","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_77_89","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_77_89","MTVC.ds50.pvalue.treatment",
"Control","CD3Z_77_89","MTVC.ds50.pvalue.treatment",
"Control","CD70_9_21_C17S","MTVC.ds50.LogFC",
"Control","CD70_9_21_C17S","MTVC.ds50.LogFC",
