"","Kinase Uniprot ID","Kinase Name","Kinase Group","Kinase Family","Mean Specificity Score","Mean Significance Score","Median Final score","Max Final Score","Mean Kinase Statistic","Median Kinase Statistic","SD Kinase Statitistic","Mean peptide set size"
"1","O14733","MAP2K7","STE","STE7","2.66552222704002","2.46794986588628","5.09691001300806","5.39794000867204","-1.43530529607642","-1.43530529607642","0","4"
"2","P45985","SEK1/MAP2K4","STE","STE7","2.66552222704002","2.46794986588628","5.09691001300806","5.39794000867204","-1.43530529607642","-1.43530529607642","0","4"
"3","P35916","FLT4","TK","VEGFR","1.26474511675829","2.30255534183068","3.75448733218585","4.14266750356873","-0.9607741595587","-0.97592557969248","0.0629852182722284","8"
"4","P54762","EphB1","TK","Eph","1.51931666552379","2.22915625282312","3.6903698325741","4.39794000867204","-1.22230859034902","-1.22230859034902","0","3"
"5","Q15375","EphA7","TK","Eph","1.44369749923271","2.22184874961636","3.66554624884907","3.66554624884907","-1.22230859034902","-1.22230859034902","","3"
"6","P54753","EphB3","TK","Eph","1.4692737604564","2.15937938131221","3.62865314176861","3.66554624884907","-1.22230859034902","-1.22230859034902","0","3"
"7","P07949","Ret","TK","Ret","1.97585237378857","1.81599070443394","3.59176003468815","4.49485002168009","-0.976620648657477","-0.987266773386737","0.0335586825877188","14"
"8","P54756","EphA5","TK","Eph","1.37745584897631","2.18020250408026","3.59176003468815","3.84163750790475","-1.15539008852013","-1.22230859034902","0.11590624513403","3"
"9","P17948","FLT1","TK","VEGFR","1.23731784664524","2.32103661091585","3.53461714855158","4.2518119729938","-0.921395675136186","-0.877098107727721","0.0879610303470958","14"
"10","J3KPB5","EphA10","TK","Eph","1.36086503678525","2.15937938131221","3.46497367457544","4.05551732784983","-1.17562712330951","-1.17562712330951","0","3"
"11","Q02750","MEK1/MAP2K1","STE","STE7","1.22938618454172","2.22244819760377","3.40230481407449","3.96657624451305","-1.07436741549449","-1.07436741549449","0","4"
"12","P36888","FLT3","TK","PDGFR","1.26532266102003","1.89619060821596","3.39881033946019","4.19382002601611","-0.910620191010892","-0.893097182184165","0.118848376462925","9"
"13","O60674","JAK2","TK","JakA","1.45256547323602","1.98195965071607","3.34872198600186","3.84163750790475","-0.90945056101023","-0.908075577516724","0.0138247250217249","17"
"14","P54764","EphA4","TK","Eph","1.22675650188993","1.96426334345071","3.31875876262441","3.33348201944512","-1.10546029193682","-1.10546029193682","0","3"
"15","Q9H3Y6","Srm","TK","Src","1.57816617750058","1.69581850184459","3.29073003902417","3.55284196865778","-0.863650498546134","-0.846982393932268","0.0234618700373496","31"
"16","P23458","JAK1~b","TK","JakA","1.28049186585045","1.94367267956853","3.21222134996999","3.55284196865778","-1.06182887317616","-1.02520855886174","0.0732406286288302","4"
"17","P16591","Fer","TK","Fer","0.549436471304602","1.92734393226663","2.89279003035213","3.14752000636314","-0.798693035855238","-0.799889259205068","0.110653237291912","6"
"18","P00533","EGFR","TK","EGFR","1.40014762947934","1.91966328336387","2.84163750790475","4.79588001734407","-0.836909014646382","-0.84080242861965","0.0348514177123902","35"
"19","Q08881","ITK","TK","Tec","1.04516828746506","1.76975705408819","2.82275216374438","3.36451625318509","-0.821576089982472","-0.812626715329251","0.0299433293348728","34"
"20","P04626","HER2","TK","EGFR","1.12550398285709","1.70408320886302","2.82044820883481","3.79588001734407","-0.861988009766159","-0.850676331816016","0.0460565990641207","22"
"21","Q06187","BTK","TK","Tec","0.969014209537645","1.62445194036026","2.82044820883481","3.31875876262441","-0.837380629494135","-0.866593292525675","0.0959661146136035","14"
"22","Q15303","HER4","TK","EGFR","0.782279671839683","1.6733420255514","2.43889861635094","2.94005811193805","-0.809612047680094","-0.805833938878828","0.0359698570856717","22"
"23","P14616","IRR","TK","InsR","0.49444475864451","1.79479259450613","2.32383617763636","2.6285626825959","-0.823650386816165","-0.823650386816165","0.0317235620708975","4"
"24","Q12866","Mer","TK","Axl","0.704331779900823","1.53791901567774","2.28533500713746","2.90657831483776","-0.785207172834774","-0.781792869550699","0.0146375342465503","37"
"25","P07332","Fes","TK","Fer","0.588038133349676","1.59295744095865","2.19654288435159","2.46142626619314","-0.81440696258494","-0.818196461951891","0.0209321813012681","11"
"26","P29323","EphB2","TK","Eph","0.48376270829498","1.72600327087698","2.15989390554324","2.57839607313017","-0.816831889801444","-0.816484429504983","0.000689470151179503","5"
"27","P10721","Kit","TK","PDGFR","0.493974705737927","1.53028559529591","2.12563416426995","2.27967528258256","-0.776939573094714","-0.800602309271833","0.0435785274920479","12"
"28","P51813","Etk/BMX","TK","Tec","0.626106452477547","1.63884880850997","2.08830984124614","3.15739076038944","-0.777781770049507","-0.776126844348684","0.0335483739008123","28"
"29","P11362","FGFR1","TK","FGFR","0.558731079654443","1.50356203666281","2.07309299590041","2.39361863488939","-0.820103166904913","-0.83104828888014","0.051565358638157","8"
"30","P42681","TXK","TK","Tec","0.50124671224014","1.39258552503489","1.93584162753688","2.21838821750685","-0.786152588567239","-0.766973014833258","0.0404712322947518","23"
"31","P08581","Met","TK","Met","0.505742342371822","1.35574831669706","1.91136785815368","2.32753268693192","-0.771419988167285","-0.772105121076665","0.0408677784726219","22"
"32","P42685","FRK","TK","Src","0.524483934620056","1.33232589075369","1.88087613518938","2.20314825095011","-0.770557663570037","-0.778007969353087","0.0228652404522582","37"
"33","P29317","EphA2","TK","Eph","0.62186993017778","1.61449792312739","1.86340625266692","3.09691001300806","-0.812962294252302","-0.765249595354222","0.0789450075318254","7"
"34","P21709","EphA1","TK","Eph","0.540042759670284","1.31428134129795","1.85432410096823","2.82044820883481","-0.761785095716184","-0.761785095716184","0.240585192046812","4"
"35","P22455","FGFR4","TK","FGFR","0.458630963148114","1.68972030229345","1.77997307444158","3.16241156176449","-0.789722101284262","-0.760982013765756","0.0867925225361804","10"
"36","Q04912","Ron","TK","Met","0.311494993402723","1.21650998816685","1.64397414280688","2.16902660267735","-0.724544214498781","-0.765552199248897","0.082938909563906","8"
"37","P52333","JAK3","TK","JakA","0.305177108512131","1.30672045504499","1.6269408035081","1.8172430689596","-0.72596048223175","-0.756994349012304","0.0368016388607946","5"
"38","P41240","CSK","TK","Csk","0.117738477986083","1.46685542629266","1.55383577797452","1.95078197732982","-0.699673671805894","-0.710257049832841","0.0222058653494293","33"
"39","P42680","TEC","TK","Tec","0.179032593985519","1.35119335877279","1.49588269786357","1.83505262737816","-0.708247389470848","-0.718454610311407","0.0335212824977525","34"
"40","Q06418","Tyro3/Sky","TK","Axl","0.144713707562983","1.31711322503242","1.49441594420078","1.78198995701564","-0.708294441024812","-0.716718646412318","0.0231025284596494","34"
"41","P21860","HER3","TK","EGFR","0.158835143116531","1.33501535972443","1.49284604034417","1.67284548759057","-0.716552616915804","-0.713480508251355","0.0160739751037543","35"
"42","Q13882","Brk","TK","Src","0.09733457085219","1.40473032212235","1.47614952301385","1.73555998865579","-0.705203886644076","-0.714015864248853","0.0211596572853028","49"
"43","P35968","KDR","TK","VEGFR","0.0514698195635739","1.41682935659915","1.46142626619314","1.96593332140244","-0.627391647815158","-0.628693570212109","0.0381144443564182","16"
"44","P09769","Fgr","TK","Src","0.324230090775738","1.07687453788126","1.44938034656308","1.63887682051155","-0.745762580801848","-0.762679537456872","0.0578450540372089","6"
