BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	MTvC::__pvalue.treatment	Protocol file name	FR PTK3 DataA.230106 vREPORTDate	Fri, 06 Jan 2023 14:53:36 GMT
			Test Condition	Gr1- Medium	Gr2- LPS	Gr3- AgonistAb	Gr4- IsotypeAb
MTvC::c_cluster	ID	UniprotAccession
1.0	41_654_666	P11171		NA	0.24171943962574	4.95315343141556e-002	1.54541367664933e-002
1.0	ACHD_383_395	Q07001		NA	0.599157869815826	9.52592641115189e-002	1.39562571421266e-002
2.0	AKT1_170_182	P31749		NA	0.280576556921005	1.71069353818893e-002	0.14154540002346
5.0	AKT1_309_321_C310S	P31749		NA	0.578735411167145	2.31065042316914e-003	8.66414159536362e-002
4.0	AKT1_320_332	P31749		NA	4.16069515049458e-002	5.64173003658652e-003	0.118970617651939
5.0	ANXA1_14_26	P04083		NA	0.868375778198242	1.76154917426175e-005	7.14708641171455e-002
6.0	ANXA2_17_29	P07355		NA	0.117524139583111	0.650945246219635	0.115615099668503
7.0	ARAF_297_307	P10398		NA	1.57262776046991e-002	4.27417196333408e-002	0.175475999712944
6.0	ART_004_EAIYAAPFAKKKXC	NA		NA	7.49782249331474e-002	0.729237079620361	3.93299460411072e-002
3.0	B3AT_39_51	P02730		NA	6.94087008014321e-003	1.31208444145159e-005	2.98466272652149e-002
8.0	BTLA_252_262	Q7Z6A9		NA	2.2896695882082e-003	4.35559935867786e-002	7.10841864347458e-002
5.0	C1R_199_211	P00736		NA	0.362943768501282	1.60353239625692e-002	0.7638258934021
5.0	CALM_93_105	P0DP23		NA	0.833082973957062	3.63179412670434e-003	0.574141561985016
1.0	CALM_95_107	P0DP23		NA	5.34517653286457e-002	1.11449100077152e-002	2.08394266664982e-002
5.0	CBL_693_705	P22681		NA	0.159515962004662	2.76842038147151e-005	0.212397664785385
2.0	CD28_185_197	P10747		NA	0.671599388122559	2.85399593412876e-002	0.995050609111786
8.0	CD28_203_215	P10747		NA	2.50156093388796e-002	0.534924805164337	0.471994459629059
1.0	CD3E_182_194	P07766		NA	0.618379235267639	1.90329377073795e-003	9.7434181952849e-004
6.0	CD3E_193_205	P07766		NA	9.0420663356781e-002	0.537083327770233	8.51213373243809e-003
6.0	CD3Z_105_117	P20963		NA	0.591131329536438	0.8211829662323	2.24348716437817e-002
1.0	CD3Z_116_128	P20963		NA	0.29502746462822	0.113283112645149	1.87470240052789e-003
1.0	CD3Z_117_129	P20963		NA	2.07115914672613e-002	5.77095448970795e-002	5.3765345364809e-004
1.0	CD3Z_135_147	P20963		NA	1.31581639871001e-002	0.248540192842484	2.25076731294394e-003
6.0	CD3Z_146_158	P20963		NA	0.747717261314392	0.821174144744873	1.42286727204919e-002
2.0	CD3Z_147_159	P20963		NA	0.341911852359772	0.23898757994175	7.63375163078308e-002
6.0	CD3Z_77_89	P20963		NA	0.806873857975006	0.801927804946899	0.253753870725632
8.0	CD70_9_21_C17S	P32970		NA	2.0493358373642e-002	4.50695902109146e-002	0.449200928211212
9.0	CD79A_181_193	P11912		NA	0.386857390403748	3.86499846354127e-003	3.79584217444062e-003
9.0	CDK1_9_21	P06493		NA	0.117979452013969	0.164756253361702	1.48338777944446e-002
9.0	CDK2_8_20	P24941		NA	0.270035743713379	0.311333328485489	7.37576652318239e-003
1.0	CDK4_11_23	P11802		NA	0.115733548998833	7.4691541492939e-002	3.69180779671296e-004
7.0	CDK7_157_169	P50613		NA	0.539016246795654	0.581377387046814	0.796759128570557
1.0	CRK_214_226	P46108		NA	0.551435470581055	2.29659560136497e-003	2.95644579455256e-003
1.0	CTNB1_79_91	P35222		NA	0.185471326112747	0.109143622219563	0.126384019851685
8.0	DCX_67_79	O43602		NA	2.62960623949766e-002	0.769901156425476	0.371981412172318
8.0	DYR1A_212_224	Q13627		NA	0.64809650182724	0.861206412315369	0.92052835226059
8.0	DYR1A_312_324	Q13627		NA	4.66106832027435e-002	0.159772008657455	0.896892368793488
9.0	EFS_246_258	O43281		NA	0.572427809238434	3.53627093136311e-002	0.200904116034508
3.0	EGFR_1103_1115	P00533		NA	4.41096425056458e-002	6.27758027985692e-003	8.7957039475441e-002
2.0	EGFR_1118_1130	P00533		NA	0.4494409263134	8.57766568660736e-002	0.152637496590614
5.0	EGFR_1165_1177	P00533		NA	0.463306784629822	4.92543855216354e-004	0.532532572746277
5.0	EGFR_1190_1202	P00533		NA	0.521027266979218	9.09532463992946e-005	1.74564756453037e-002
9.0	ENOG_37_49	P09104		NA	0.422685235738754	8.30479338765144e-003	6.77935592830181e-003
5.0	EPHA1_774_786	P21709		NA	3.17559316754341e-002	9.04257613001391e-005	0.115192830562592
3.0	EPHA2_765_777	P29317		NA	1.10630821436644e-002	1.10392866190523e-004	2.51110997051001e-002
1.0	EPHA4_589_601	P54764		NA	0.987183451652527	0.221230089664459	1.53710311278701e-002
3.0	EPHA7_607_619	Q15375		NA	0.250208854675293	1.98337642359547e-004	3.4648984670639e-002
3.0	EPHB1_771_783	P54762		NA	0.208401679992676	1.59158735186793e-004	3.06963897310197e-003
8.0	EPHB1_921_933	P54762		NA	0.434933751821518	0.855265080928802	0.820910930633545
6.0	EPHB4_583_595	P54760		NA	0.508501052856445	0.914504289627075	0.198026850819588
1.0	EPOR_361_373	P19235		NA	0.289551824331284	5.49063179641962e-003	3.36658582091331e-003
5.0	EPOR_419_431	P19235		NA	0.350733488798141	7.25654070265591e-004	4.46738973259926e-002
1.0	ERBB2_1241_1253	P04626		NA	0.566335141658783	0.108313232660294	0.106764115393162
5.0	ERBB2_870_882	P04626		NA	0.713739514350891	3.31157316395547e-005	0.179911494255066
5.0	ERBB3_1283_1295	P21860		NA	0.509186208248138	3.97603143937886e-004	0.135702133178711
5.0	ERBB4_1181_1193	Q15303		NA	0.681326150894165	6.22955049038865e-005	2.61229034513235e-002
5.0	ERBB4_1277_1289	Q15303		NA	0.189619436860085	1.51115492917597e-003	0.222787201404572
4.0	FABPH_13_25	P05413		NA	0.188157975673676	3.13307754695416e-002	0.860942780971527
1.0	FAK1_569_581	Q05397		NA	0.120279282331467	7.01892301440239e-002	2.64965463429689e-002
5.0	FAK2_572_584	Q14289		NA	0.478866398334503	2.84825891867513e-005	0.242847576737404
1.0	FER_707_719	P16591		NA	0.43220391869545	2.88311392068863e-002	1.06782242655754e-002
