Kinase Uniprot ID	Kinase Name	Kinase Group	Kinase Family	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P08922	Ros	TK	Sev	1.80153844027246	0.730396920955716	2.53193536122818	2.53997508795906	-0.452137237926409	-0.462988885587277	0.0217032953217365	6.25
P11362	FGFR1	TK	FGFR	1.53276374923656	0.392889788431932	1.9256535376685	2.16241156176449	-0.309558843794033	-0.313095282939365	0.0465671594802498	17
P07333	FmS/CSFR	TK	PDGFR	0.938596740652544	0.492430623696899	1.43102736434944	1.75847056323385	-0.344399541558116	-0.396650926160441	0.181141764893913	7.125
P54764	EphA4	TK	Eph	1.15178552885139	0.524907158511713	1.6766926873631	1.66837028237007	-0.390421822622462	-0.390421822622462	0	4
Q05397	FAK1	TK	Fak	1.35504683679017	0.281338333056505	1.63638516984668	1.63137845603451	-0.245623494291536	-0.24356301361468	0.0197888724211277	50.5555555555556
Q13535	ATR	Atypical	PIKK	1.06641454294732	0.509312299346026	1.57572684229334	1.56395045316069	-0.420116259308845	-0.420116259308845	0	3
P54756	EphA5	TK	Eph	0.92852990091938	0.45821344791655	1.38674334883593	1.3408150973499	-0.358450282521664	-0.337604416775126	0.0981675421687191	4.33333333333333
Q16620	TRKB	TK	Trk	1.00936857206477	0.293035032250501	1.30240360431527	1.32301391154808	-0.253789434954787	-0.258620009634401	0.0209425616492478	28
Q16288	TRKC	TK	Trk	1.05592937513799	0.300552228740085	1.35648160387808	1.30867091562589	-0.256878955594937	-0.252509808751601	0.013368527789835	28.1111111111111
P22455	FGFR4	TK	FGFR	0.954056184052807	0.330906987934294	1.2849631719871	1.30803489723264	-0.265431190572231	-0.265843367643827	0.0328552102992435	22
P14616	IRR	TK	InsR	0.828748973121979	0.376666990190056	1.20541596331204	1.28663869393958	-0.294117226301099	-0.308509141320778	0.0755745431502728	5.5
Q06187	BTK	TK	Tec	0.942956283422061	0.348639868901583	1.29159615232364	1.27461114174569	-0.262783491378565	-0.257771190628626	0.0128296256719814	19
P21802	FGFR2	TK	FGFR	1.1306701885531	0.38745021560344	1.51812040415654	1.12355121312166	-0.300282438561029	-0.280346547029701	0.0395417069131401	11.4444444444444
Q15375	EphA7	TK	Eph	0.774690718274137	0.318758762624413	1.09344948089855	1.09344948089855	-0.307065643618539	-0.307065643618539	NA	4
P22607	FGFR3	TK	FGFR	0.763246701277062	0.345934677497448	1.10918137877451	1.03630659476198	-0.262958462996531	-0.263224103800888	0.0170370463046162	11.6666666666667
P29376	LTK	TK	Alk	0.789590574175766	0.357062583112444	1.14665315728821	0.877351681460832	-0.285171739351956	-0.225314354530177	0.139723498674153	19.2222222222222
Q01973	ROR1	TK	Ror	0.581433146986265	0.274906249052081	0.856339396038347	0.856339396038347	-0.277696636085008	-0.277696636085008	0	3
P07949	Ret	TK	Ret	0.603726302540034	0.228632908512096	0.83235921105213	0.851520741836846	-0.225350361616389	-0.227793159693396	0.0127223015951486	20.1111111111111
P42679	CTK	TK	Csk	0.906379707074936	0.282683615869763	1.1890633229447	0.847650491687274	-0.241208753925843	-0.2128209835966	0.0523557641689226	32.1111111111111
P21860	HER3	TK	EGFR	0.496498624464476	0.230412727829977	0.726911352294453	0.790914130237252	-0.203415984073913	-0.206137207479469	0.0161326504818602	53.2222222222222
P09769	Fgr	TK	Src	0.428047580328067	0.284989090570374	0.713036670898441	0.750068243365805	-0.211780556322449	-0.222464005829693	0.0404909725857984	10.6666666666667
P29320	EphA3	TK	Eph	0.442574459650347	0.266003670239426	0.708578129889773	0.708578129889773	-0.229633362869919	-0.229633362869919	0	4
Q14289	FAK2	TK	Fak	0.471680926804691	0.234220073947561	0.705901000752252	0.690046361101213	-0.20063932514489	-0.196424884241621	0.013569354315097	38.6666666666667
P42681	TXK	TK	Tec	0.713612178159143	0.31148703818213	1.02509921634127	0.672780062088501	-0.239001291012258	-0.198634497909921	0.0767845144519461	29
P04629	TRKA	TK	Trk	0.498368655303877	0.24095548818422	0.739324143488097	0.669732369006496	-0.216648257661242	-0.205378300465641	0.0341018673404507	18.8888888888889
P12931	Src	TK	Src	0.438168158428048	0.218138009488989	0.656306167917037	0.665224668322045	-0.19850990212764	-0.199215759696959	0.00634757397207102	47.8888888888889
P43405	Syk	TK	Syk	0.44034208151838	0.21515687544256	0.65549895696094	0.61907998930518	-0.193314515130303	-0.191650722377357	0.00679685481256914	80
P51813	Etk/BMX	TK	Tec	0.435596269912334	0.216114604474081	0.651710874386414	0.614036429399303	-0.199962878014383	-0.194909457032687	0.0180341995376119	36.4444444444444
O60674	JAK2	TK	JakA	0.39149495095977	0.216128850699926	0.607623801659696	0.612610173661271	-0.1992566231464	-0.200190625885296	0.00886453419585467	20.2222222222222
P46734	MKK3/MAP2K3	STE	STE7	0.403323712980369	0.19387566652134	0.597199379501709	0.598323804190539	-0.209182442486588	-0.209182442486588	0	5
P52564	MKK6/MAP2K6	STE	STE7	0.403323712980369	0.19387566652134	0.597199379501709	0.598323804190539	-0.209182442486588	-0.209182442486588	0	5
Q9UM73	ALK	TK	Alk	0.360906804286054	0.214208427597104	0.575115231883157	0.596618637166997	-0.191534495831257	-0.191457177146128	0.00542085156266379	54.6666666666667
P07947	Yes	TK	Src	0.334140929226238	0.216389633914248	0.550530563140486	0.586365002801444	-0.188277856092398	-0.197801905878444	0.0215887498472242	26.2222222222222
P09619	PDGFR[beta]	TK	PDGFR	0.335000557282269	0.198058791969273	0.533059349251541	0.560566245758704	-0.184827321604924	-0.193576838927939	0.0205525705543797	17.3333333333333
J3KPB5	EphA10	TK	Eph	0.366571119019735	0.190992147183261	0.557563266202996	0.552421270338193	-0.201563774179307	-0.201563774179307	0	3
P07332	Fes	TK	Fer	0.369733178255974	0.196248891409658	0.565982069665632	0.512324393740015	-0.194165401825043	-0.188767843874316	0.040951858821831	13.2222222222222
Q13882	Brk	TK	Src	0.233289246114607	0.194786013276684	0.428075259391291	0.458530591534374	-0.178886240234523	-0.179476925831446	0.00880404961797916	77.4444444444444
Q15303	HER4	TK	EGFR	0.269866632982552	0.201418125509242	0.471284758491794	0.425922409998022	-0.179064646618216	-0.175472805181033	0.0225252851650344	38.1111111111111
Q06418	Tyro3/Sky	TK	Axl	0.322315950147329	0.202381652495217	0.524697602642546	0.410506144527843	-0.187210546193313	-0.176338542262764	0.0158115858020216	48.5555555555556
Q9H3Y6	Srm	TK	Src	0.189454927645835	0.199447655996607	0.388902583642442	0.408267761048164	-0.167580224012523	-0.173697453930189	0.0110948827184663	39
P16234	PDGFR[alpha]	TK	PDGFR	0.227994446848016	0.144267649920186	0.372262096768202	0.407956550370638	-0.148896003771932	-0.166398915946431	0.0287140414798271	4.44444444444444
Q02750	MEK1/MAP2K1	STE	STE7	0.243370544548869	0.144530713355907	0.387901257904775	0.384092012800206	-0.15929681845055	-0.15929681845055	0	6
P43403	ZAP70	TK	Syk	0.190146722957957	0.190459795833665	0.380606518791622	0.38111551500455	-0.174717104138826	-0.173385944083789	0.00425148829300388	68.7777777777778
O14757	CHK1	CAMK	CAMKL	0.221593843030581	0.142170913640551	0.363764756671132	0.375202421039239	-0.150841748817287	-0.150841748817287	0	5
P42684	Arg	TK	Abl	0.177681036568947	0.194435702951236	0.372116739520183	0.332173621049289	-0.170473175482623	-0.167694954709224	0.0141597251036356	60
P35916	FLT4	TK	VEGFR	0.150923305615415	0.123002173007491	0.273925478622906	0.327883661841225	-0.122159985296362	-0.148139768578778	0.0405383604435305	8.55555555555556
P23458	JAK1~b	TK	JakA	0.142335933088797	0.0977709264226704	0.240106859511468	0.30721052565573	-0.104186184158418	-0.140543787678524	0.0727152070402113	6.5
P04626	HER2	TK	EGFR	0.237292002292939	0.163015134812766	0.400307137105706	0.304259225074545	-0.154445110589735	-0.158259697473473	0.0425176109970245	39.5555555555556
P45985	SEK1/MAP2K4	STE	STE7	0.174418379784668	0.130451829584617	0.304870209369285	0.304084246030484	-0.136005127935126	-0.136005127935126	0	7
Q04912	Ron	TK	Met	0.174939799529679	0.137091476740101	0.31203127626978	0.301996942235322	-0.135699409191399	-0.136965067310267	0.0241668896110949	8.22222222222222
O14733	MAP2K7	STE	STE7	0.177483848301001	0.123622717844159	0.30110656614516	0.298863933907474	-0.132148857410486	-0.132148857410486	0	6
Q08881	ITK	TK	Tec	0.152050850320153	0.168647277336647	0.320698127656801	0.293094547439703	-0.160138235041249	-0.161113951079045	0.0132321856055105	40.3333333333333
P08581	Met	TK	Met	0.221148790188991	0.176479353330706	0.397628143519696	0.29231402747906	-0.162112971974997	-0.154264486796834	0.0299996407970172	34
P42680	TEC	TK	Tec	0.172000952854866	0.178312622201415	0.350313575056281	0.285676947557247	-0.162961138185074	-0.158658703857422	0.0221882346860534	42.2222222222222
P52333	JAK3	TK	JakA	0.139523381213722	0.108829678769367	0.248353059983088	0.28527469264783	-0.111612311133187	-0.137033234487036	0.0301455067585226	5.55555555555556
P30530	Axl	TK	Axl	0.103156303761934	0.160677773927643	0.263834077689577	0.284243940534765	-0.150547192781582	-0.166385724354791	0.0351657206069001	67.7777777777778
Q12866	Mer	TK	Axl	0.159764988277849	0.177721141701801	0.33748612997965	0.270900035216956	-0.162567939941147	-0.163098911574174	0.0228818473868895	51.7777777777778
P42685	FRK	TK	Src	0.13859325055431	0.176150560537107	0.314743811091417	0.266084054716229	-0.158366097484097	-0.153662445228759	0.0219903954497236	45.6666666666667
P10721	Kit	TK	PDGFR	0.117373834115795	0.133024174235859	0.250398008351654	0.263900034804902	-0.12612421323077	-0.124362838851825	0.019667484713577	13.8571428571429
O95382	MEKK6/MAP3K6	STE	STE11	0.152229799568572	0.101409961467544	0.253639761036116	0.256440066965637	-0.113032590088901	-0.113032590088901	0	4
Q99683	ASK/MAP3K5	STE	STE11	0.152229799568572	0.101409961467544	0.253639761036116	0.256440066965637	-0.113032590088901	-0.113032590088901	0	4
P00533	EGFR	TK	EGFR	0.0922559619735537	0.172577151337167	0.264833113310721	0.246028011965031	-0.156848373430405	-0.157657521243819	0.00917136061057261	56.6666666666667
Q13308	CCK4/PTK7	TK	CCK4	0.134388259461973	0.0961961356731206	0.230584395135094	0.231533578881872	-0.0955271115674293	-0.0955271115674293	0	3
P08631	HCK	TK	Src	0.104957879555923	0.143173024216078	0.248130903772001	0.229507350058731	-0.138742842485501	-0.136601108402656	0.00974080620422445	24
P41240	CSK	TK	Csk	0.124711220667008	0.16648272300817	0.291193943675178	0.228200934778445	-0.155176254605509	-0.143527873573794	0.0181218207774731	46.7777777777778
P06213	InSR	TK	InsR	0.0767019195373808	0.122719668310707	0.199421587848088	0.20135487820807	-0.113682942093899	-0.119290706716599	0.0413921980423795	20.3333333333333
P36888	FLT3	TK	PDGFR	0.107902966827978	0.104052632075451	0.211955598903429	0.19882893364752	-0.109243832917115	-0.117903226946528	0.0425228818586022	11.375
P54760	EphB4	TK	Eph	0.101467858656449	0.0860015742734631	0.187469432929912	0.19411634310654	-0.050093568662179	-0.088998489424204	0.0778098415240499	3.75
P29317	EphA2	TK	Eph	0.129650810004933	0.102174495151263	0.231825305156196	0.191653964259605	-0.103343597029463	-0.100322012790222	0.0485421861049229	6.33333333333333
P35968	KDR	TK	VEGFR	0.0716549820335211	0.111153618278992	0.182808600312513	0.189536278385287	-0.115228306828476	-0.127265804957197	0.0246615666574455	19.5555555555556
P08069	IGF1R	TK	InsR	0.109808837169515	0.103587639130561	0.213396476300076	0.189431470783587	-0.0677793200208553	-0.121910065035074	0.101034146084162	13
P06239	Lck	TK	Src	0.0541129364085499	0.130498313295317	0.184611249703867	0.17244464061244	-0.122560605139373	-0.121697548915555	0.011505460187435	27.4444444444444
P06241	Fyn	TK	Src	0.050096265577034	0.119990544763055	0.170086810340089	0.167057009814445	-0.115696994043554	-0.118381912872309	0.0161945314494797	25.2222222222222
P00519	Abl	TK	Abl	0.0183820638087556	0.135134593347528	0.153516657156284	0.156209290831425	-0.124642550610041	-0.132425266362362	0.0135164829565333	51.6666666666667
P17948	FLT1	TK	VEGFR	0.0693153458056696	0.0943737688644436	0.163689114670113	0.152239845083468	-0.0951950171947305	-0.115608330263955	0.0566170090844546	19.4444444444444
P54762	EphB1	TK	Eph	0.174502474030879	0.130163942466938	0.304666416497816	0.147402909032123	0.0430914212976344	-0.0654810164556712	0.135413621239903	4.57142857142857
P54753	EphB3	TK	Eph	0.0806623309041661	0.0523086192417221	0.132970950145888	0.132970950145888	0.0190453193650997	0.0190453193650997	0.0973802775128992	3.5
P21709	EphA1	TK	Eph	0.0529551233940239	0.0410465973846745	0.0940017207786984	0.124591439922936	0.0229193061834016	0.0544856226118717	0.0443867028040495	3.8
P07948	Lyn	TK	Src	0.032011823239106	0.101781773531904	0.13379359677101	0.120298710472632	-0.0989630978438495	-0.0985774066405445	0.017826514986447	23.3333333333333
P29323	EphB2	TK	Eph	0.203227935104117	0.117990652318636	0.321218587422753	0.106460156435339	-0.113885881957371	-0.0498129352180992	0.0963771707056503	3.71428571428571
P51451	BLK	TK	Src	0.0533827374722441	0.0827840675276211	0.136166804999865	0.101373532919831	-0.088385025169761	-0.0897776505754708	0.0618633529901809	22.4444444444444
H0Y8A4	RYK	TK	Ryk	0.0520237574638918	0.0483006964981929	0.100324453962085	0.0973597405710075	-0.0485547295449008	-0.0533430403699151	0.0269597530027984	5.22222222222222
P29597	Tyk2	TK	JakA	0.0502263925595896	0.0362572218610845	0.0864836144206741	0.0906408384875675	0.0413924820972167	0.0413924820972167	0	3
P16591	Fer	TK	Fer	0.0161068599116135	0.0266217223389906	0.0427285822506041	0.0266061070278976	0.00573024365629951	0.00455962287349255	0.0360463321679956	9.55555555555556
