TTEST.ds00..Comparison,TTEST.ds00..ID,TTEST.ds00..UniprotAccession,TTEST.ds00.delta,TTEST.ds00.p
Comparison1,41_654_666,P11171,4,0.0278
Comparison1,ACHD_383_395,Q07001,0.662416995,0.0723
Comparison1,AKT1_170_182,P31749,-0.864069676,0.259
Comparison1,AKT1_309_321_C310S,P31749,0.844910755,0.0305
Comparison1,AKT1_320_332,P31749,0.961582163,0.0259
Comparison1,ANXA1_14_26,P04083,4,0.0242
Comparison1,ANXA2_17_29,P07355,0.530141427,0.222
Comparison1,ARAF_297_307,P10398,0.845162727,0.0065
Comparison1,ART_004_EAIYAAPFAKKKXC,NA,0.237210033,0.409
Comparison1,B3AT_39_51,P02730,4,0.00289
Comparison1,BTLA_252_262,Q7Z6A9,0.4483503,0.0287
Comparison1,C1R_199_211,P00736,1.390484902,0.0215
Comparison1,CALM_93_105,P0DP23,2.831265808,0.013
Comparison1,CALM_95_107,P0DP23,0.95580344,0.027
Comparison1,CBL_693_705,P22681,1.337691322,0.0155
Comparison1,CD28_185_197,P10747,-1.042437765,0.545
Comparison1,CD28_203_215,P10747,-0.104503679,0.662
Comparison1,CD3E_182_194,P07766,0.882834678,0.0314
Comparison1,CD3E_193_205,P07766,4,0.0299
Comparison1,CD3Z_105_117,P20963,1.140145923,0.0197
Comparison1,CD3Z_116_128,P20963,1.518219811,0.0197
Comparison1,CD3Z_117_129,P20963,1.218791809,0.0223
Comparison1,CD3Z_135_147,P20963,1.058291031,0.00349
Comparison1,CD3Z_146_158,P20963,4,0.0239
Comparison1,CD3Z_147_159,P20963,5.127317165,0.000928
Comparison1,CD3Z_77_89,P20963,0.86761695,0.0206
Comparison1,CD70_9_21_C17S,P32970,-0.189342721,0.498
Comparison1,CD79A_181_193,P11912,-1.286967756,0.611
Comparison1,CDK1_9_21,P06493,0.290026636,0.0761
Comparison1,CDK2_8_20,P24941,0.432282986,0.129
Comparison1,CDK4_11_23,P11802,0.631539506,0.0243
Comparison1,CDK7_157_169,P50613,-0.082794133,0.744
Comparison1,CRK_214_226,P46108,1.243512858,0.0354
Comparison1,CTNB1_79_91,P35222,1.169586595,0.0217
Comparison1,DCX_67_79,O43602,0.112480676,0.642
Comparison1,DYR1A_212_224,Q13627,0.568309719,0.175
Comparison1,DYR1A_312_324,Q13627,0.373354496,0.278
Comparison1,EFS_246_258,O43281,0.784749001,0.0209
Comparison1,EGFR_1103_1115,P00533,0.937052945,0.00685
Comparison1,EGFR_1118_1130,P00533,1.473636835,0.0436
Comparison1,EGFR_1165_1177,P00533,1.222316052,0.019
Comparison1,EGFR_1190_1202,P00533,1.164037675,0.0238
Comparison1,ENOG_37_49,P09104,1.06462575,0.00461
Comparison1,EPHA1_774_786,P21709,0.918900791,0.0608
Comparison1,EPHA2_765_777,P29317,0.830021894,0.0562
Comparison1,EPHA4_589_601,P54764,0.679417843,0.0927
Comparison1,EPHA7_607_619,Q15375,1.430829661,0.00835
Comparison1,EPHB1_771_783,P54762,0.951044246,0.00587
Comparison1,EPHB1_921_933,P54762,-0.148657024,0.587
